games,summer,team,gold,silver,bronze,total,year,games_team
Tokyo 2020,1,Kyrgyzstan,0,2,1,3,2021,Tokyo 2020 | Kyrgyzstan
Tokyo 2020,1,Dominican Republic,0,3,2,5,2021,Tokyo 2020 | Dominican Republic
Tokyo 2020,1,Ecuador,2,1,0,3,2021,Tokyo 2020 | Ecuador
Tokyo 2020,1,Côte d'Ivoire,0,0,1,1,2021,Tokyo 2020 | Côte d'Ivoire
Tokyo 2020,1,ROC,20,28,23,71,2021,Tokyo 2020 | ROC
Tokyo 2020,1,Venezuela,1,3,0,4,2021,Tokyo 2020 | Venezuela
Tokyo 2020,1,Belgium,3,1,3,7,2021,Tokyo 2020 | Belgium
Tokyo 2020,1,Tunisia,1,1,0,2,2021,Tokyo 2020 | Tunisia
Tokyo 2020,1,Mongolia,0,1,3,4,2021,Tokyo 2020 | Mongolia
Tokyo 2020,1,Kenya,4,4,2,10,2021,Tokyo 2020 | Kenya
Tokyo 2020,1,Denmark,3,4,4,11,2021,Tokyo 2020 | Denmark
Tokyo 2020,1,Czech Republic,4,4,3,11,2021,Tokyo 2020 | Czech Republic
Tokyo 2020,1,Canada,7,6,11,24,2021,Tokyo 2020 | Canada
Tokyo 2020,1,Puerto Rico,1,0,0,1,2021,Tokyo 2020 | Puerto Rico
Tokyo 2020,1,Bermuda,1,0,0,1,2021,Tokyo 2020 | Bermuda
Tokyo 2020,1,Morocco,1,0,0,1,2021,Tokyo 2020 | Morocco
Tokyo 2020,1,Chinese Taipei,2,4,6,12,2021,Tokyo 2020 | Chinese Taipei
Tokyo 2020,1,Turkey,2,2,9,13,2021,Tokyo 2020 | Turkey
Tokyo 2020,1,Switzerland,3,4,6,13,2021,Tokyo 2020 | Switzerland
Tokyo 2020,1,Brazil,7,6,8,21,2021,Tokyo 2020 | Brazil
Tokyo 2020,1,New Zealand,7,6,7,20,2021,Tokyo 2020 | New Zealand
Tokyo 2020,1,Hungary,6,7,7,20,2021,Tokyo 2020 | Hungary
Tokyo 2020,1,Republic of Korea,6,4,10,20,2021,Tokyo 2020 | Republic of Korea
Tokyo 2020,1,Poland,4,5,5,14,2021,Tokyo 2020 | Poland
Tokyo 2020,1,People's Republic of China,38,32,18,88,2021,Tokyo 2020 | People's Republic of China
Tokyo 2020,1,Cuba,7,3,5,15,2021,Tokyo 2020 | Cuba
Tokyo 2020,1,Saudi Arabia,0,1,0,1,2021,Tokyo 2020 | Saudi Arabia
Tokyo 2020,1,North Macedonia,0,1,0,1,2021,Tokyo 2020 | North Macedonia
Tokyo 2020,1,Lithuania,0,1,0,1,2021,Tokyo 2020 | Lithuania
Tokyo 2020,1,Turkmenistan,0,1,0,1,2021,Tokyo 2020 | Turkmenistan
Tokyo 2020,1,Namibia,0,1,0,1,2021,Tokyo 2020 | Namibia
Tokyo 2020,1,Bahrain,0,1,0,1,2021,Tokyo 2020 | Bahrain
Tokyo 2020,1,Spain,3,8,6,17,2021,Tokyo 2020 | Spain
Tokyo 2020,1,Sweden,3,6,0,9,2021,Tokyo 2020 | Sweden
Tokyo 2020,1,"Hong Kong, China",1,2,3,6,2021,"Tokyo 2020 | Hong Kong, China"
Tokyo 2020,1,Serbia,3,1,5,9,2021,Tokyo 2020 | Serbia
Tokyo 2020,1,Norway,4,2,2,8,2021,Tokyo 2020 | Norway
Tokyo 2020,1,United States of America,39,41,33,113,2021,Tokyo 2020 | United States of America
Tokyo 2020,1,Great Britain,22,21,22,65,2021,Tokyo 2020 | Great Britain
Tokyo 2020,1,Bulgaria,3,1,2,6,2021,Tokyo 2020 | Bulgaria
Tokyo 2020,1,Japan,27,14,17,58,2021,Tokyo 2020 | Japan
Tokyo 2020,1,Estonia,1,0,1,2,2021,Tokyo 2020 | Estonia
Tokyo 2020,1,Fiji,1,0,1,2,2021,Tokyo 2020 | Fiji
Tokyo 2020,1,Thailand,1,0,1,2,2021,Tokyo 2020 | Thailand
Tokyo 2020,1,Latvia,1,0,1,2,2021,Tokyo 2020 | Latvia
Tokyo 2020,1,Azerbaijan,0,3,4,7,2021,Tokyo 2020 | Azerbaijan
Tokyo 2020,1,Australia,17,7,22,46,2021,Tokyo 2020 | Australia
Tokyo 2020,1,Austria,1,1,5,7,2021,Tokyo 2020 | Austria
Tokyo 2020,1,India,1,2,4,7,2021,Tokyo 2020 | India
Tokyo 2020,1,Belarus,1,3,3,7,2021,Tokyo 2020 | Belarus
Tokyo 2020,1,Italy,10,10,20,40,2021,Tokyo 2020 | Italy
Tokyo 2020,1,Ukraine,1,6,12,19,2021,Tokyo 2020 | Ukraine
Tokyo 2020,1,Islamic Republic of Iran,3,2,2,7,2021,Tokyo 2020 | Islamic Republic of Iran
Tokyo 2020,1,Kazakhstan,0,0,8,8,2021,Tokyo 2020 | Kazakhstan
Tokyo 2020,1,Germany,10,11,16,37,2021,Tokyo 2020 | Germany
Tokyo 2020,1,Netherlands,10,12,14,36,2021,Tokyo 2020 | Netherlands
Tokyo 2020,1,Nigeria,0,1,1,2,2021,Tokyo 2020 | Nigeria
Tokyo 2020,1,Malaysia,0,1,1,2,2021,Tokyo 2020 | Malaysia
Tokyo 2020,1,Jordan,0,1,1,2,2021,Tokyo 2020 | Jordan
Tokyo 2020,1,France,10,12,11,33,2021,Tokyo 2020 | France
Tokyo 2020,1,Georgia,2,5,1,8,2021,Tokyo 2020 | Georgia
Tokyo 2020,1,Croatia,3,3,2,8,2021,Tokyo 2020 | Croatia
Tokyo 2020,1,Finland,0,0,2,2,2021,Tokyo 2020 | Finland
Tokyo 2020,1,Jamaica,4,1,4,9,2021,Tokyo 2020 | Jamaica
